Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Synchronoss technologies inc,SNCR,"",2585073.0,9281000.0,0.0002,0.0002,3244,605061.0,30.558451,addition,2.9337983,Q4 2018,INFORMATION TECHNOLOGY,"","",5.2751
Joann inc,JOAN,"",588661.0,9272000.0,0.0002,0.0001,3245,338661.0,135.4644,addition,1.3962581,Q1 2021,CONSUMER DISCRETIONARY,"","",13.3717
Mict inc,MICT,"",3962851.0,9272000.0,0.0002,0.0002,3246,411330.0,11.581798,addition,3.2831966,Q1 2018,INFORMATION TECHNOLOGY,"","",2.098
Sharpspring inc,SHSP,"",548119.0,9258000.0,0.0002,0.0002,3247,-8275.0,-1.487255,reduction,4.2533830,Q1 2014,INFORMATION TECHNOLOGY,"","",11.94
Adamas pharmaceuticals inc,ADMS,"",1751820.0,9250000.0,0.0002,0.0002,3248,34336.0,1.999203,addition,3.8420624,Q2 2014,HEALTH CARE,"","",11.084
Silverbow resources inc,SBOW,"",397473.0,9229000.0,0.0002,0.0001,3249,138885.0,53.708989,addition,3.2585801,Q2 2017,ENERGY,"","",24.0918
Tim s.p.a,TIIAY,"",798631.0,9201000.0,0.0002,0.0002,3250,0.0,0.0,,N/A,Q4 2020, ,"","",
Cti biopharma corp,CTIC,"",3666204.0,9165000.0,0.0002,0.0002,3251,620892.0,20.388453,addition,3.9290612,Q1 2009,HEALTH CARE,"","",113340.3715
Bcb bancorp inc (nj),BCBP,"",680993.0,9160000.0,0.0002,0.0003,3252,-68585.0,-9.149815,reduction,4.0051970,Q3 2010,FINANCE,"","",13.95
Oncorus  inc.,ONCR,"",663669.0,9159000.0,0.0002,0.0002,3253,208980.0,45.961085,addition,2.5774349,Q4 2020,HEALTH CARE,"","",22.0967
Zedge inc,ZDGE,"",496805.0,9146000.0,0.0002,0.0002,3254,25591.0,5.430866,addition,3.6364625,Q2 2016,INFORMATION TECHNOLOGY,"","",7.3791
Immersion corp,IMMR,"",1039779.0,9119000.0,0.0002,0.0002,3255,139538.0,15.500072,addition,3.3665559,Q2 2002,INFORMATION TECHNOLOGY,"","",8.6142
Bioventus inc,BVS,"",517493.0,9108000.0,0.0002,0.0001,3256,303495.0,141.821419,addition,1.2602523,Q1 2021,HEALTH CARE,"","",16.6406
Sandridge energy inc,SD,"",1445724.0,9080000.0,0.0002,0.0001,3257,151953.0,11.744969,addition,3.9512774,Q4 2016,ENERGY,"","",11.4614
Ag mortgage investment trust inc,MITT,"",706685.99,9053000.0,0.0002,0.0002,3258,46531.35,7.048553,addition,13.1121156,Q4 2011,REAL ESTATE,"","",18.3589
Intricon corp,IIN,"",402138.0,9040000.0,0.0002,0.0003,3259,-37775.0,-8.586925,reduction,4.4204250,Q4 2015,INFORMATION TECHNOLOGY,"","",26.77
Eastern co,EML,"",297751.0,9031000.0,0.0002,0.0002,3260,-32408.0,-9.815877,reduction,4.7497637,Q4 2008,INDUSTRIALS,"","",20.0
Premier financial bancorp  inc.,PFBI,"",535070.0,9016000.0,0.0002,0.0003,3261,32371.0,6.43944,addition,3.6360683,Q1 2009,FINANCE,"","",14.614
Adma biologics inc,ADMA,"",5609220.0,8975000.0,0.0002,0.0002,3262,1463105.0,35.288577,addition,4.2247815,Q2 2015,HEALTH CARE,"","",2.9305
Voyager therapeutics inc,VYGR,"",2168973.0,8958000.0,0.0002,0.0003,3263,-284939.0,-11.611623,reduction,5.7175060,Q4 2015,HEALTH CARE,"","",14.89
Superior industries international inc.,SUP,"",1036462.0,8934000.0,0.0002,0.0001,3264,80436.0,8.413579,addition,3.9699838,Q2 2002,CONSUMER DISCRETIONARY,"","",13.8592
Gold resource corp,GORO,"",3462579.0,8933000.0,0.0002,0.0003,3265,-103543.0,-2.903518,reduction,4.6457663,Q2 2011,MATERIALS,"","",7.0
Lifetime brands inc,LCUT,"",596146.0,8924000.0,0.0002,0.0002,3266,73255.0,14.009612,addition,2.7089390,Q2 2004,CONSUMER DISCRETIONARY,"","",15.6191
Surface oncology inc,SURF,"",1195432.0,8918000.0,0.0002,0.0002,3267,113010.0,10.440475,addition,2.6300716,Q2 2018,HEALTH CARE,"","",7.6139
Scorpio tankers inc,STNG,"",403510.0,8897000.0,0.0002,0.0002,3268,11641.0,2.970636,addition,0.6945914,Q2 2010,TRANSPORTS,"","",71.1514
Mistras group inc,MG,"",900701.0,8854000.0,0.0002,0.0003,3269,7938.0,0.88915,addition,3.0602905,Q4 2009,INDUSTRIALS,"","",14.776
Ames national corp,ATLO,"",360422.0,8834000.0,0.0002,0.0003,3270,-27129.0,-7.000111,reduction,3.9508056,Q2 2005,FINANCE,"","",24.29
Lincoln educational services  inc.,LINC,"",1134659.0,8828000.0,0.0002,0.0002,3271,14273.0,1.273936,addition,4.2067776,Q1 2006,CONSUMER DISCRETIONARY,"","",6.2297
Nathans famous inc.,NATH,"",123592.0,8814000.0,0.0002,0.0002,3272,8900.0,7.759914,addition,3.0034990,Q2 2009,CONSUMER DISCRETIONARY,"","",56.3237
Lcnb corp.,LCNB,"",538414.0,8814000.0,0.0002,0.0003,3273,-75915.0,-12.357385,reduction,4.3071855,Q2 2013,FINANCE,"","",19.25
Tiptree inc,TIPT,"",945743.0,8795000.0,0.0002,0.0003,3274,-166906.0,-15.000777,reduction,2.8309742,Q2 2014,REAL ESTATE,"","",6.94
Viemed healthcare inc,VMD,"",1229982.0,8795000.0,0.0002,0.0003,3275,147327.0,13.607936,addition,3.0936244,Q2 2020,HEALTH CARE,"","",9.2625
Ur energy inc,URG,"",6278959.0,8791000.0,0.0002,0.0001,3276,1359729.0,27.641094,addition,3.2233163,Q4 2015,MATERIALS,"","",0.7497
Western asset mortgage capital corp,WMC,"",2698114.0,8768000.0,0.0002,0.0002,3277,-18256.0,-0.672073,reduction,4.4369577,Q2 2012,REAL ESTATE,"","",8.69
Timberland bancorp  inc.,TSBK,"",311403.0,8756000.0,0.0002,0.0003,3278,-25697.0,-7.622961,reduction,3.7276054,Q2 2002,FINANCE,"","",14.65
Fiverr international ltd,FVRR,"",36049.0,8741000.0,0.0002,0.0001,3279,17723.0,96.709593,addition,0.1005748,Q2 2020,CONSUMER DISCRETIONARY,"","",183.4029
Revlon inc.  class a,REV,"",680029.0,8731000.0,0.0002,0.0002,3280,28690.0,4.404772,addition,1.2674633,Q4 2008,CONSUMER STAPLES,"","",14.9376
Immunic inc,IMUX,"",711773.0,8726000.0,0.0002,0.0003,3281,-20127.0,-2.749966,reduction,2.7115741,Q2 2014,HEALTH CARE,"","",22.44
Culp inc,CULP,"",530621.0,8649000.0,0.0002,0.0002,3282,-7673.0,-1.425429,reduction,4.3060491,Q3 2004,CONSUMER DISCRETIONARY,"","",20.5
Sfl corporation ltd,SFL,"",1129386.0,8640000.0,0.0002,0.0002,3283,399099.0,54.64961,addition,0.8814715,Q3 2005,ENERGY,"","",10.9866
Lakeland industries inc.,LAKE,"",386801.0,8637000.0,0.0002,0.0003,3284,-21569.0,-5.28173,reduction,4.8151542,Q1 2013,CONSUMER DISCRETIONARY,"","",12.76
Lifemd inc,LFMD,"",732014.0,8623000.0,0.0002,0.0003,3285,24920.0,3.524284,addition,2.7451376,Q1 2021,HEALTH CARE,"","",15.6825
Universal logistics holdings inc,ULH,"",369569.0,8610000.0,0.0002,0.0003,3286,-24710.0,-6.267136,reduction,1.3728695,Q1 2005,TRANSPORTS,"","",22.19
Crawford & co class b,CRD.B,"",1000798.0,8607000.0,0.0002,0.0003,3287,-10581.0,-1.046195,reduction,4.4650145,Q2 2002,FINANCE,"","",7.25
Aqua metals inc,AQMS,"",2861041.0,8583000.0,0.0002,0.0003,3288,56733.0,2.023066,addition,4.1191236,Q4 2015,INDUSTRIALS,"","",4.5781
Jaguar animal health inc,JAGX,"",1810245.96,8581000.0,0.0002,0.0001,3289,1183240.0,188.71272,addition,3.9552503,Q4 2018,HEALTH CARE,"","",4.0992
Mcewen mining inc,MUX,"",6216928.0,8579000.0,0.0002,0.0002,3290,52746.0,0.855685,addition,1.3538978,Q1 2012,MATERIALS,"","",2.3021
Vyne therapeutics inc,VYNE,"",2436432.0,8552000.0,0.0002,0.0005,3291,-52829.0,-2.122276,reduction,N/A,Q1 2021, ,"","",
Codorus valley bancorp  inc.,CVLY,"",426211.0,8542000.0,0.0002,0.0002,3292,-29269.0,-6.425968,reduction,4.3705329,Q2 2002,FINANCE,"","",22.37
Capital bancorp inc,CBNK,"",417104.0,8530000.0,0.0002,0.0002,3293,22308.0,5.650513,addition,3.0260198,Q3 2018,FINANCE,"","",14.5059
Farmer brothers co,FARM,"",672072.0,8528000.0,0.0002,0.0002,3294,-174496.0,-20.612166,reduction,3.7708858,Q2 2002,CONSUMER STAPLES,"","",20.16
Vaalco energy inc,EGY,"",2617042.0,8505000.0,0.0002,0.0002,3295,-152873.0,-5.51905,reduction,4.4670807,Q2 2005,ENERGY,"","",3.52
Pzena investment management inc,PZN,"",769522.0,8472000.0,0.0002,0.0002,3296,-9494.0,-1.218717,reduction,4.3508645,Q4 2007,FINANCE,"","",7.92
Trecora resources,TREC,"",1016293.0,8455000.0,0.0002,0.0002,3297,-59264.0,-5.510075,reduction,4.1660905,Q2 2014,MATERIALS,"","",11.85
The community financial corp,TCFC,"",244874.0,8448000.0,0.0002,0.0002,3298,-14062.0,-5.430686,reduction,4.2832312,Q3 2016,FINANCE,"","",33.9
Genasys inc,GNSS,"",1538710.0,8432000.0,0.0002,0.0003,3299,-393455.0,-20.363427,reduction,4.2573904,Q3 2004,INFORMATION TECHNOLOGY,"","",4.17
Foster (l.b.) co.,FSTR,"",451635.0,8418000.0,0.0002,0.0002,3300,14827.0,3.394398,addition,4.1684969,Q2 2006,INDUSTRIALS,"","",24.5107
Cui glbl inc,OEG,"",1923673.0,8406000.0,0.0002,0.0003,3301,289211.0,17.694569,addition,3.5820091,Q2 2013,INFORMATION TECHNOLOGY,"","",4.3445
Cedar realty trust  inc.,CDR,"",498394.0,8392000.0,0.0002,0.0002,3302,13147.0,2.709342,addition,3.6402063,Q1 2021,REAL ESTATE,"","",27.7738
Nuvve holding corp,NVVE,"",607167.0,8391000.0,0.0002,,3303,607167.0,,new,3.2444161,Q2 2021,FINANCE,"","",13.82
Teva pharmaceutical industries ltd  adr,TEVA,"",845695.0,8373000.0,0.0002,0.0003,3304,-264687.0,-23.837472,reduction,0.0774312,Q1 2015,HEALTH CARE,"","",36.96
Fathom holdings inc.,FTHM,"",255059.0,8363000.0,0.0002,0.0002,3305,41750.0,19.572545,addition,1.7238256,Q3 2020,REAL ESTATE,"","",23.5404
Shore bancshares inc,SHBI,"",497121.0,8326000.0,0.0002,0.0002,3306,10688.0,2.197219,addition,4.2301478,Q2 2002,FINANCE,"","",14.3625
Parke bancorp inc,PKBK,"",424611.0,8305000.0,0.0002,0.0002,3307,-34018.0,-7.417324,reduction,3.5701869,Q2 2011,FINANCE,"","",16.41
Horizon global corp,HZN,"",978487.0,8297000.0,0.0002,0.0003,3308,-388.0,-0.039637,reduction,3.5859554,Q3 2015,CONSUMER DISCRETIONARY,"","",10.2
Bankwell financial group inc,BWFG,"",299127.0,8268000.0,0.0002,0.0002,3309,-40498.0,-11.924328,reduction,3.8140216,Q4 2014,FINANCE,"","",28.01
Hookipa pharma inc,HOOK,"",901149.0,8255000.0,0.0002,0.0003,3310,12469.0,1.403092,addition,3.4666700,Q2 2019,HEALTH CARE,"","",10.8562
Richmond mutual bancorporation inc,RMBI,"",551929.0,8224000.0,0.0002,0.0002,3311,-93473.0,-14.482911,reduction,4.2838982,Q3 2019,FINANCE,"","",14.56
Waitr holdings inc,WTRH,"",4612656.0,8210000.0,0.0002,0.0004,3312,-945376.0,-17.009186,reduction,3.9397383,Q4 2018,FINANCE,"","",5.52
Affimed n.v.,AFMD,"",964433.0,8198000.0,0.0002,0.0003,3313,-212131.0,-18.029703,reduction,0.9812383,Q3 2019,HEALTH CARE,"","",5.54
Evans bancorp inc,EVBN,"",220931.0,8197000.0,0.0002,0.0002,3314,-12484.0,-5.348414,reduction,4.0489449,Q4 2016,FINANCE,"","",38.31
Delta apparel inc.,DLA,"",277011.0,8178000.0,0.0002,0.0002,3315,59608.0,27.418205,addition,3.9716775,Q2 2002,CONSUMER DISCRETIONARY,"","",20.1414
1st constitution bancorp (nj),FCCY,"",394835.0,8169000.0,0.0002,0.0002,3316,-29170.0,-6.879636,reduction,3.8389342,Q1 2012,FINANCE,"","",15.58
Afc gamma inc,AFCG,"",394238.0,8141000.0,0.0002,,3317,394238.0,,new,2.4058667,Q2 2021,REAL ESTATE,"","",20.65
Norwood financial corp.,NWFL,"",312029.0,8113000.0,0.0002,0.0002,3318,-19052.0,-5.754483,reduction,3.7939503,Q2 2009,FINANCE,"","",30.67
Hamilton beach brands holding co,HBB,"",363618.0,8098000.0,0.0002,0.0002,3319,39436.0,12.164772,addition,3.6844182,Q4 2017,CONSUMER STAPLES,"","",25.1586
Stratus properties inc.,STRS,"",327741.0,8085000.0,0.0002,0.0003,3320,-18678.0,-5.391737,reduction,3.9799374,Q2 2002,REAL ESTATE,"","",25.96
89bio  inc.,ETNB,"",431935.0,8077000.0,0.0002,0.0003,3321,-6758.0,-1.540485,reduction,2.1531866,Q4 2019,HEALTH CARE,"","",24.02
Marrone bio innovations inc,MBII,"",4859355.0,8067000.0,0.0002,0.0003,3322,285596.0,6.244229,addition,2.7719063,Q3 2013,MATERIALS,"","",2.1871
Mackinac financial corp,MFNC,"",405065.0,8004000.0,0.0002,0.0002,3323,-15179.0,-3.611949,reduction,3.8393357,Q2 2016,FINANCE,"","",15.53
Viper energy partners lp,VNOM,"",424887.0,8000000.0,0.0002,0.0002,3324,4351.0,1.034632,addition,0.6607751,Q4 2019,ENERGY,"","",12.5252
Strattec security corp,STRT,"",179860.0,7996000.0,0.0002,0.0002,3325,-3086.0,-1.686837,reduction,4.6276761,Q2 2002,CONSUMER DISCRETIONARY,"","",35.99
Agrify corp,AGFY,"",668604.0,7957000.0,0.0002,0.0001,3326,384282.0,135.157322,addition,3.2944054,Q1 2021, ,"","",12.1466
Lazydays holdings inc,LAZY,"",361427.0,7952000.0,0.0002,0.0002,3327,21499.0,6.324575,addition,3.1900718,Q2 2018,CONSUMER DISCRETIONARY,"","",13.1215
Wrap technologies inc,WRAP,"",1010505.0,7933000.0,0.0002,0.0001,3328,62498.0,6.592567,addition,2.4964454,Q1 2019,CONSUMER DISCRETIONARY,"","",6.1144
Cherry hill mortgage investment corp,CHMI,"",804216.0,7930000.0,0.0002,0.0002,3329,-54829.0,-6.382553,reduction,4.7057695,Q4 2013,REAL ESTATE,"","",14.75
Finance of america companies inc,FOA,"",1038519.0,7923000.0,0.0002,,3330,1038519.0,,new,1.6191387,Q2 2021,FINANCE,"","",7.63
Evofem biosciences inc,EVFM,"",7009858.0,7921000.0,0.0002,0.0002,3331,2845077.0,68.312764,addition,4.5164150,Q3 2018,HEALTH CARE,"","",2.2113
Western new england bancorp,WNEB,"",967283.0,7883000.0,0.0002,0.0002,3332,-56468.0,-5.515794,reduction,4.1351633,Q2 2002,FINANCE,"","",9.55
Intest corp,INTT,"",469953.0,7881000.0,0.0002,0.0001,3333,131412.0,38.81716,addition,4.3728228,Q2 2013,INFORMATION TECHNOLOGY,"","",9.7752
Bank of princeton/the,BPRN,"",274795.0,7879000.0,0.0002,0.0002,3334,-11473.0,-4.007783,reduction,4.6076378,Q3 2017,FINANCE,"","",32.96
Luther burbank corp,LBC,"",664244.0,7878000.0,0.0002,0.0002,3335,48225.0,7.828492,addition,1.2842222,Q4 2017,FINANCE,"","",11.2386
Laird superfood  inc.,LSF,"",263347.0,7867000.0,0.0002,0.0002,3336,88880.0,50.943731,addition,2.9259377,Q3 2020,CONSUMER STAPLES,"","",40.947
Novan inc,NOVN,"",781772.0,7864000.0,0.0002,0.0003,3337,187242.2,31.494166,addition,4.1568047,Q3 2016,HEALTH CARE,"","",467.4187
Alaska communications systems group inc,ALSK,"",2350215.0,7826000.0,0.0002,0.0002,3338,-26051.0,-1.0963,reduction,4.3302935,Q3 2003,UTILITIES AND TELECOMMUNICATIONS,"","",3.82
Gilat satellite network ltd,GILT,"",768041.0,7819000.0,0.0002,0.0002,3339,-176.0,-0.02291,reduction,1.3823722,Q1 2015,INFORMATION TECHNOLOGY,"","",6.53
Alpine income property trust  inc.,PINE,"",410467.0,7807000.0,0.0002,0.0002,3340,70830.0,20.854618,addition,3.6325966,Q2 2020,REAL ESTATE,"","",16.7363
Exagen inc,XGN,"",519873.0,7793000.0,0.0002,0.0002,3341,106908.0,25.887908,addition,3.2236620,Q3 2019,HEALTH CARE,"","",19.5893
Verrica pharmaceuticals inc,VRCA,"",687811.0,7772000.0,0.0002,0.0003,3342,-22872.0,-3.218313,reduction,2.4997928,Q2 2018,HEALTH CARE,"","",14.14
Via renewables inc,VIA,"",685755.0,7770000.0,0.0002,0.0002,3343,-177701.0,-20.580203,reduction,4.4036599,Q3 2014,UTILITIES AND TELECOMMUNICATIONS,"","",11.44
Medicinova inc,MNOV,"",1826732.0,7763000.0,0.0002,0.0003,3344,-340171.0,-15.698488,reduction,3.7304420,Q1 2010,HEALTH CARE,"","",6.32
T2 biosystems inc,TTOO,"",6517274.0,7756000.0,0.0002,0.0003,3345,-457.0,-0.007012,reduction,3.9297204,Q3 2014,HEALTH CARE,"","",2.21
Fvcbankcorp inc,FVCB,"",448716.0,7745000.0,0.0002,0.0003,3346,-99862.0,-18.203792,reduction,3.2795198,Q4 2018,FINANCE,"","",17.23
Ni holdings inc,NODK,"",406381.0,7726000.0,0.0002,0.0002,3347,5097.0,1.270173,addition,1.9091977,Q2 2017,FINANCE,"","",17.6177
Orion group holdings inc,ORN,"",1342794.0,7721000.0,0.0002,0.0002,3348,-188.0,-0.013999,reduction,4.3439868,Q1 2008,INDUSTRIALS,"","",8.98
Va national bankshares corp,VABK,"",197916.0,7697000.0,0.0002,,3349,197916.0,,new,3.7305547,Q2 2021,FINANCE,"","",38.89
Meridian bank (pennsylvania),MRBK,"",291725.0,7658000.0,0.0002,0.0002,3350,-26741.0,-8.396815,reduction,4.7269325,Q4 2017,FINANCE,"","",19.62
Kaleido biosciences inc,KLDO,"",1027455.0,7644000.0,0.0002,0.0002,3351,41286.0,4.186504,addition,2.4131391,Q2 2019,HEALTH CARE,"","",8.1695
Ondas holdings inc.,ONDS,"",962798.0,7644000.0,0.0002,0.0001,3352,668324.0,226.955181,addition,2.8290928,Q1 2021,INFORMATION TECHNOLOGY,"","",8.4752
Red violet inc,RDVT,"",324914.0,7641000.0,0.0002,0.0002,3353,-15561.0,-4.57038,reduction,2.5432755,Q1 2018,INFORMATION TECHNOLOGY,"","",14.6
Savara inc,SVRA,"",4492247.0,7637000.0,0.0002,0.0002,3354,1078960.0,31.610585,addition,3.9457485,Q1 2013,HEALTH CARE,"","",3.8655
Checkpoint therapeutics inc,CKPT,"",2583983.0,7623000.0,0.0002,0.0002,3355,76625.0,3.056006,addition,3.4115647,Q1 2018,HEALTH CARE,"","",2.8433
Safeguard scientifics inc.,SFE,"",975760.0,7572000.0,0.0002,0.0002,3356,-253925.0,-20.649597,reduction,4.6558828,Q2 2002,INFORMATION TECHNOLOGY,"","",12.46
Mainstreet bancshares inc.,MNSB,"",334982.0,7563000.0,0.0002,0.0002,3357,-20549.0,-5.779805,reduction,4.4364281,Q2 2019,FINANCE,"","",20.38
Asure software inc.,ASUR,"",852530.0,7562000.0,0.0002,0.0002,3358,-39750.0,-4.45488,reduction,4.4475449,Q1 2013,INFORMATION TECHNOLOGY,"","",8.21
Heat biologics inc,HTBX,"",1121219.0,7546000.0,0.0002,0.0002,3359,141937.0,14.493986,addition,4.4147041,Q1 2014,HEALTH CARE,"","",60.9075
Associated capital group inc,AC,"",194054.0,7542000.0,0.0002,0.0002,3360,-14003.0,-6.730367,reduction,6.1884556,Q4 2015,FINANCE,"","",33.03
Potbelly corp,PBPB,"",954519.0,7541000.0,0.0002,0.0001,3361,39104.0,4.271724,addition,3.3779853,Q4 2013,CONSUMER DISCRETIONARY,"","",12.8198
Aercap holdings n.v.,AER,"",147114.0,7534000.0,0.0002,0.0003,3362,-12808.0,-8.008904,reduction,0.1128187,Q4 2013,INDUSTRIALS,"","",40.26
Remark holdings inc,MARK,"",4047797.0,7529000.0,0.0002,0.0003,3363,-27256.0,-0.66885,reduction,4.0510808,Q2 2013,INFORMATION TECHNOLOGY,"","",2.8
Medallion financial corp,MFIN,"",848429.0,7517000.0,0.0002,0.0002,3364,48291.0,6.035334,addition,3.3853523,Q2 2019,FINANCE,"","",6.7192
Marker therapeutics inc,MRKR,"",2691710.0,7510000.0,0.0002,0.0002,3365,142225.0,5.578578,addition,3.2399530,Q3 2017,HEALTH CARE,"","",4.3907
Select interior concepts inc,SIC,"",795141.0,7474000.0,0.0002,0.0002,3366,-117307.0,-12.856294,reduction,3.0676070,Q4 2018,INDUSTRIALS,"","",10.1
Alico inc,ALCO,"",209879.0,7472000.0,0.0002,0.0002,3367,-36088.0,-14.671887,reduction,2.7909441,Q2 2002,CONSUMER STAPLES,"","",31.68
Dhi group inc (dice holdings  inc.),DHX,"",2197270.0,7426000.0,0.0002,0.0002,3368,-407273.0,-15.637023,reduction,4.3735674,Q3 2007,COMMUNICATIONS,"","",7.05
Orion energy systems inc,OESX,"",1294868.0,7420000.0,0.0002,0.0003,3369,-99250.0,-7.119197,reduction,4.1768991,Q2 2008,INDUSTRIALS,"","",3.8
Tff pharmaceuticals  inc.,TFFP,"",771854.0,7417000.0,0.0002,0.0003,3370,74947.0,10.754233,addition,3.0421751,Q4 2019,HEALTH CARE,"","",14.4676
Big rock partners acquisition corp,NRXP,"",637416.0,7407000.0,0.0002,,3371,637416.0,,new,1.3303188,Q2 2021,FINANCE,"","",11.62
Unity bancorp  inc.,UNTY,"",335137.0,7391000.0,0.0002,0.0002,3372,-19212.0,-5.421773,reduction,3.2319454,Q2 2002,FINANCE,"","",10.09
Westwood holdings group inc.,WHG,"",338689.0,7370000.0,0.0002,0.0002,3373,-179654.0,-34.659289,reduction,4.0660818,Q3 2002,FINANCE,"","",40.36
Ntn buzztime inc,BTX,"",409098.0,7368000.0,0.0002,,3374,409098.0,,new,0.9259890,Q2 2002,COMMUNICATIONS,"","",18.01
Assembly biosciences inc,ASMB,"",1883644.0,7309000.0,0.0002,0.0002,3375,-122737.0,-6.117333,reduction,4.1885181,Q3 2011,HEALTH CARE,"","",29.35
Foghorn therapeutics inc.,FHTX,"",683778.0,7296000.0,0.0002,0.0001,3376,276444.0,67.866665,addition,1.8512064,Q4 2020,HEALTH CARE,"","",16.3471
Goodrich pete corp par,GDP,"",486192.0,7258000.0,0.0002,0.0001,3377,22447.0,4.840376,addition,3.5988862,Q2 2017,ENERGY,"","",12.5645
C&f financial corp.,CFFI,"",142268.0,7256000.0,0.0002,0.0002,3378,4114.0,2.977836,addition,3.9601645,Q3 2010,FINANCE,"","",42.4059
Innodata isogen inc.,INOD,"",1033767.0,7236000.0,0.0002,0.0002,3379,-54108.0,-4.973733,reduction,3.8498153,Q1 2005,INFORMATION TECHNOLOGY,"","",2.67
Lannett co.  inc,LCI,"",1546955.0,7224000.0,0.0002,0.0003,3380,-744483.0,-32.489773,reduction,3.7324579,Q2 2002,HEALTH CARE,"","",14.64
Intevac inc.,IVAC,"",1070024.0,7212000.0,0.0002,0.0002,3381,12681.0,1.199327,addition,4.3521707,Q4 2003,INFORMATION TECHNOLOGY,"","",7.2934
Emerald expositions events inc,EEX,"",1336938.0,7206000.0,0.0002,0.0002,3382,-124883.0,-8.542975,reduction,1.8767178,Q2 2017,COMMUNICATIONS,"","",15.25
Overseas shipholding group inc,OSG,"",3438997.0,7187000.0,0.0002,0.0002,3383,149242.0,4.536569,addition,3.9462091,Q2 2016,TRANSPORTS,"","",3.5632
Centrais electricas pfd adr,EBR.B,"",821495.0,7180000.0,0.0002,0.0001,3384,0.0,0.0,,0.2934525,Q4 2016,UTILITIES AND TELECOMMUNICATIONS,"","",7.69
Pacific mercantile bancorp,PMBC,"",835020.0,7180000.0,0.0002,0.0002,3385,59757.0,7.707965,addition,3.7407630,Q1 2005,FINANCE,"","",7.588
Energous corp,WATT,"",2499852.0,7175000.0,0.0002,0.0002,3386,639827.0,34.398839,addition,3.9759315,Q3 2014,INDUSTRIALS,"","",6.0173
Essa bancorp inc,ESSA,"",437627.0,7172000.0,0.0002,0.0002,3387,-84108.0,-16.120828,reduction,4.1707433,Q2 2007,FINANCE,"","",13.4
Pixelworks inc,PXLW,"",2096431.0,7149000.0,0.0002,0.0002,3388,-353635.0,-14.433693,reduction,3.9982117,Q2 2002,INFORMATION TECHNOLOGY,"","",5.06
Hbt financial  inc.,HBT,"",408492.0,7111000.0,0.0002,0.0002,3389,1548.0,0.380396,addition,1.4926739,Q4 2019,FINANCE,"","",18.8445
Intrusion inc,INTZ,"",461210.0,7107000.0,0.0002,0.0003,3390,-41494.0,-8.254161,reduction,2.6168677,Q4 2020,INFORMATION TECHNOLOGY,"","",19.65
Greenbox pos,GBOX,"",591819.0,7060000.0,0.0002,,3391,591819.0,,new,1.3982326,Q2 2021,INDUSTRIALS,"","",11.93
Acelrx pharmaceuticals inc,ACRX,"",5110592.0,7052000.0,0.0002,0.0002,3392,-6018.0,-0.117617,reduction,4.2909012,Q3 2012,HEALTH CARE,"","",3.35
Evi industries inc,EVI,"",247515.0,7030000.0,0.0002,0.0002,3393,-24634.0,-9.051659,reduction,2.0191834,Q4 2013,INDUSTRIALS,"","",22.72
Pfsweb inc.,PFSW,"",951060.0,7019000.0,0.0002,0.0002,3394,-3536.0,-0.370418,reduction,4.4974585,Q2 2011,COMMUNICATIONS,"","",6.73
Choiceone financial services inc,COFS,"",289493.0,7011000.0,0.0002,0.0002,3395,-23891.0,-7.623554,reduction,3.7083670,Q2 2020,FINANCE,"","",28.51
Cyberark software ltd,CYBR,"",53810.0,7009000.0,0.0002,0.0002,3396,-6487.0,-10.758413,reduction,0.1411459,Q3 2015,INFORMATION TECHNOLOGY,"","",94.16
Amplify energy corp. (midstates petroleum),AMPY,"",1726514.0,6992000.0,0.0002,0.0001,3397,-216515.0,-11.143169,reduction,4.5442919,Q4 2016,ENERGY,"","",6.76
Xpresspa group inc,XSPA,"",4520905.0,6962000.0,0.0002,0.0002,3398,354721.0,8.51429,addition,4.2929345,Q2 2020,INFORMATION TECHNOLOGY,"","",1.6229
Phasebio pharmaceuticals inc,PHAS,"",1868664.0,6951000.0,0.0002,0.0001,3399,297078.0,18.90307,addition,3.8969443,Q4 2018,HEALTH CARE,"","",5.9992
Neuropace inc,NPCE,"",291976.0,6946000.0,0.0002,,3400,291976.0,,new,1.2019859,Q2 2021,HEALTH CARE,"","",23.79
Adamis pharmaceuticals corp,ADMP,"",6313841.0,6945000.0,0.0002,0.0001,3401,582319.0,10.159937,addition,4.2407177,Q3 2014,HEALTH CARE,"","",1.5811
Op bancorp,OPBK,"",689232.0,6934000.0,0.0002,0.0002,3402,-87698.0,-11.287761,reduction,4.5543743,Q2 2018,FINANCE,"","",10.38
Ellington residential mortgage reit,EARN,"",587140.0,6911000.0,0.0002,0.0002,3403,84414.0,16.791254,addition,4.5449401,Q2 2013,REAL ESTATE,"","",13.1999
Esquire financial holdings inc,ESQ,"",291532.0,6909000.0,0.0002,0.0002,3404,-25227.0,-7.964099,reduction,3.7229347,Q4 2017,FINANCE,"","",23.67
Sellas life sciences group inc,SLS,"",618534.0,6866000.0,0.0002,0.0001,3405,148681.0,31.644153,addition,3.8965371,Q1 2008,HEALTH CARE,"","",2013.2246
